Iteration,Proportion Test,Proportion Test (Sim Results Dual1High.Csv),Proportion Test (Sim Results Dual2High.Csv),Proportion Test (Sim Results Dual3High.Csv),Proportion Test (Sim Results Dual4High.Csv)
341,0.3191,0.4141,0.4408,0.4845,0.5188
342,0.322,0.3889,0.4459,0.5002,0.5012
343,0.3249,0.3901,0.4396,0.496,0.5227
344,0.3157,0.3987,0.4494,0.5068,0.5125
345,0.3238,0.41,0.4349,0.4911,0.5165
346,0.3241,0.3813,0.4344,0.492,0.5327
347,0.3131,0.399,0.4768,0.4989,0.5199
348,0.314,0.387,0.4445,0.4745,0.513
349,0.3173,0.4109,0.4567,0.4939,0.5095
350,0.3158,0.4049,0.4337,0.4909,0.5208
351,0.3178,0.3918,0.451,0.4937,0.5173
352,0.317,0.3925,0.4132,0.4937,0.5151
353,0.3101,0.4115,0.4419,0.4993,0.5067
354,0.3148,0.413,0.4569,0.4917,0.5079
355,0.3215,0.3934,0.4374,0.4883,0.5198
356,0.309,0.3965,0.4509,0.4861,0.5097
357,0.3238,0.4118,0.4605,0.5094,0.5306
358,0.3164,0.3868,0.4285,0.4756,0.5266
359,0.3149,0.3845,0.436,0.4815,0.5108
360,0.3053,0.4077,0.4469,0.473,0.5127
361,0.3115,0.3701,0.4518,0.4687,0.5108
362,0.3134,0.3846,0.4554,0.4925,0.5259
363,0.3075,0.4126,0.4424,0.5043,0.4985
364,0.3275,0.4004,0.4309,0.4747,0.5066
365,0.3222,0.41,0.4592,0.4882,0.5206
366,0.3041,0.4095,0.4482,0.482,0.5175
367,0.3308,0.3731,0.4184,0.4793,0.5174
368,0.3125,0.378,0.4647,0.4953,0.5099
369,0.304,0.4277,0.4582,0.5072,0.5134
370,0.3082,0.4117,0.4178,0.4694,0.5353
371,0.3129,0.3994,0.454,0.5101,0.5152
372,0.3118,0.3779,0.4662,0.4957,0.5063
373,0.3151,0.4039,0.4585,0.4914,0.52
374,0.3083,0.3849,0.4647,0.484,0.5247
375,0.3154,0.4036,0.4672,0.4906,0.5163
376,0.3173,0.4096,0.4391,0.4944,0.5192
377,0.3154,0.4161,0.4387,0.4802,0.5153
378,0.3179,0.3765,0.4524,0.4814,0.528
379,0.3123,0.3909,0.4668,0.4899,0.5086
380,0.318,0.4121,0.4774,0.4726,0.529
381,0.3089,0.4024,0.4637,0.4771,0.494
382,0.313,0.4194,0.431,0.4881,0.4968
383,0.3203,0.4059,0.4424,0.4828,0.5199
384,0.3127,0.3909,0.4369,0.504,0.5235
385,0.3088,0.404,0.4594,0.5028,0.4962
386,0.3102,0.3836,0.4555,0.4841,0.516
387,0.3212,0.3833,0.4754,0.4818,0.51
388,0.3208,0.4067,0.4527,0.4886,0.5178
389,0.3233,0.3975,0.4408,0.4739,0.5023
390,0.3124,0.3914,0.4476,0.5016,0.4775
391,0.3116,0.3999,0.4426,0.483,0.5156
392,0.3251,0.4097,0.4574,0.4779,0.5093
393,0.3258,0.4198,0.4206,0.5011,0.5179
394,0.3121,0.3948,0.4614,0.4815,0.5166
395,0.3083,0.3868,0.4424,0.4801,0.5244
396,0.3193,0.3861,0.4749,0.4844,0.5244
397,0.3214,0.4183,0.4531,0.5046,0.5046
398,0.32,0.3763,0.4253,0.4888,0.5142
399,0.3194,0.3589,0.454,0.4919,0.4966
400,0.3148,0.377,0.4606,0.4831,0.4904
401,0.3116,0.4233,0.4331,0.4811,0.5025
402,0.3187,0.3656,0.4652,0.4985,0.4924
403,0.3141,0.4039,0.4245,0.4931,0.5051
404,0.3188,0.3968,0.4208,0.4917,0.5091
405,0.3117,0.3752,0.4587,0.488,0.5167
406,0.31,0.3803,0.4753,0.5039,0.5255
407,0.3083,0.3669,0.4505,0.484,0.5233
408,0.3102,0.4174,0.4437,0.5084,0.5191
409,0.3218,0.4075,0.469,0.5121,0.5081
410,0.3224,0.3804,0.4256,0.4939,0.5302
411,0.3147,0.386,0.4407,0.4802,0.5132
412,0.3137,0.3816,0.4648,0.4964,0.5273
413,0.3078,0.3852,0.4555,0.4976,0.5006
414,0.3155,0.4091,0.4451,0.4845,0.5081
415,0.3053,0.3769,0.4394,0.4692,0.5073
416,0.3164,0.4021,0.454,0.4912,0.5166
417,0.3159,0.4114,0.4446,0.4749,0.505
418,0.3216,0.3908,0.4355,0.4953,0.5128
419,0.3168,0.3961,0.4477,0.4793,0.5189
420,0.3155,0.4016,0.4501,0.4999,0.5121
421,0.306,0.3959,0.4386,0.5034,0.5219
422,0.311,0.4048,0.4407,0.4613,0.526
423,0.3236,0.4192,0.4653,0.4994,0.5242
424,0.3072,0.4075,0.4551,0.4868,0.516
425,0.3115,0.4031,0.4462,0.4995,0.5101
426,0.3185,0.3787,0.4528,0.477,0.5097
427,0.3082,0.3912,0.4273,0.4958,0.5187
428,0.3247,0.3981,0.4669,0.4802,0.5014
429,0.3168,0.4109,0.4461,0.4949,0.5172
430,0.3162,0.4032,0.4485,0.4944,0.5108
431,0.3144,0.3845,0.4404,0.4996,0.515
432,0.31,0.3882,0.4587,0.4936,0.5034
433,0.315,0.3952,0.4735,0.4796,0.503
434,0.3172,0.3809,0.4221,0.4914,0.5194
435,0.3123,0.3894,0.4611,0.5066,0.5247
436,0.3042,0.4106,0.4549,0.4736,0.5139
437,0.3227,0.3953,0.4496,0.4737,0.5072
438,0.3122,0.3827,0.4485,0.4716,0.4985
439,0.3148,0.4007,0.4576,0.4727,0.5152
440,0.3185,0.3867,0.4377,0.4902,0.5088
441,0.3145,0.3758,0.4696,0.4959,0.5082
442,0.3194,0.3972,0.4524,0.4917,0.5188
443,0.3206,0.3959,0.4561,0.4839,0.5243
444,0.317,0.3853,0.4635,0.491,0.5196
445,0.3086,0.4219,0.4426,0.5064,0.4887
446,0.317,0.3884,0.4704,0.4895,0.5164
447,0.3175,0.4028,0.4584,0.498,0.5282
448,0.3166,0.3937,0.4519,0.4921,0.5197
449,0.3129,0.4056,0.4235,0.4909,0.5165
450,0.3147,0.3982,0.4502,0.5059,0.4904
451,0.32,0.4199,0.445,0.4992,0.4917
452,0.3166,0.3955,0.4504,0.4689,0.5229
453,0.314,0.3686,0.4509,0.5002,0.5126
454,0.3193,0.3906,0.4478,0.4876,0.506
455,0.3255,0.406,0.4377,0.4965,0.5004
456,0.3261,0.3791,0.4542,0.489,0.5191
457,0.3173,0.4105,0.4541,0.4939,0.5191
458,0.3048,0.4035,0.4565,0.4768,0.5259
459,0.3203,0.3966,0.4706,0.4918,0.5234
460,0.3117,0.3918,0.4269,0.4855,0.5204
461,0.3164,0.4196,0.4458,0.4947,0.5109
462,0.3191,0.4082,0.4338,0.5003,0.5248
463,0.3117,0.3843,0.4481,0.4907,0.5174
464,0.3237,0.3889,0.4534,0.4984,0.5046
465,0.3265,0.4005,0.4489,0.4968,0.5177
466,0.3033,0.3787,0.4611,0.4717,0.5228
467,0.3085,0.4066,0.4654,0.4885,0.5127
468,0.3151,0.3757,0.4606,0.4712,0.5228
469,0.3195,0.4006,0.4669,0.4783,0.5143
470,0.3098,0.3873,0.4441,0.483,0.527
471,0.3127,0.4199,0.4527,0.5054,0.5031
472,0.3234,0.3718,0.441,0.5026,0.5268
473,0.3283,0.3985,0.4558,0.4882,0.5029
474,0.3249,0.3744,0.418,0.4841,0.5153
475,0.3137,0.3989,0.4304,0.4829,0.518
476,0.3107,0.414,0.4405,0.4863,0.5156
477,0.3176,0.4025,0.4511,0.4707,0.5368
478,0.3177,0.4013,0.4543,0.4842,0.5097
479,0.3115,0.4045,0.4475,0.5065,0.5179
480,0.3056,0.3855,0.4622,0.4948,0.5231
481,0.3171,0.4007,0.4523,0.4874,0.5063
482,0.3113,0.4198,0.4244,0.5041,0.5163
483,0.3124,0.3997,0.4322,0.4875,0.5111
484,0.319,0.3597,0.4687,0.5037,0.5316
485,0.3222,0.3835,0.453,0.4882,0.5275
486,0.3163,0.3802,0.4477,0.4928,0.5045
487,0.312,0.4027,0.4683,0.5068,0.518
488,0.3209,0.3902,0.4572,0.4825,0.5125
489,0.3128,0.3963,0.4564,0.4934,0.5239
490,0.3187,0.3887,0.465,0.4884,0.5196
491,0.3221,0.4065,0.4271,0.4982,0.5122
492,0.3177,0.3931,0.4404,0.4732,0.5271
493,0.3066,0.3981,0.4319,0.4831,0.5063
494,0.3158,0.4191,0.432,0.4838,0.5222
495,0.317,0.4146,0.4336,0.4667,0.5197
496,0.3177,0.3682,0.4358,0.4948,0.5134
497,0.3178,0.4058,0.4488,0.4886,0.5212
498,0.3195,0.413,0.4344,0.5002,0.5134
499,0.3125,0.3963,0.4594,0.4906,0.5242
500,0.3116,0.4135,0.4561,0.4938,0.5213
501,0.319,0.3925,0.4591,0.483,0.5125
502,0.3072,0.4017,0.4541,0.4873,0.5195
503,0.3066,0.3798,0.4303,0.4995,0.5096
504,0.3171,0.4095,0.4499,0.4946,0.5178
505,0.3225,0.3786,0.4485,0.4963,0.5088
