Iteration,Policy Test,Policy Test (Sim Results Mandate1.Csv),Policy Test (Sim Results Mandate2.Csv),Policy Test (Sim Results Mandate3.Csv),Policy Test (Sim Results Mandate4.Csv),Policy Test (Sim Results Mandate5.Csv),Policy Test (Sim Results Mandate6.Csv),Policy Test (Sim Results Mandate7.Csv),Proportion Test
218,0.5056,0.6414,0.6185,0.7122,0.7463,0.7609,0.8111,0.8728,0.3242
219,0.4511,0.554,0.5819,0.6493,0.6879,0.7523,0.7616,0.8767,0.3133
220,0.4755,0.5875,0.6059,0.6976,0.7459,0.7787,0.8443,0.9017,0.3215
221,0.4528,0.5716,0.5674,0.6573,0.7019,0.707,0.7968,0.8186,0.3116
222,0.5513,0.5982,0.6575,0.6475,0.6694,0.796,0.7163,0.9057,0.3146
223,0.4903,0.6104,0.5793,0.6846,0.7225,0.6908,0.7978,0.782,0.3157
224,0.5336,0.5847,0.6299,0.6526,0.6908,0.7445,0.7695,0.853,0.3182
225,0.5099,0.556,0.6066,0.6546,0.6979,0.7126,0.7852,0.8056,0.3104
226,0.5119,0.6093,0.6037,0.7042,0.749,0.7117,0.8311,0.8022,0.3152
227,0.5015,0.5099,0.6116,0.5987,0.6455,0.7515,0.7339,0.867,0.3215
228,0.5243,0.6127,0.6031,0.6881,0.7188,0.7028,0.7864,0.787,0.3197
229,0.4694,0.5839,0.5663,0.6633,0.7058,0.6869,0.7894,0.7803,0.312
230,0.5309,0.5276,0.6366,0.598,0.6352,0.7543,0.7029,0.8663,0.3168
231,0.5584,0.5725,0.6235,0.6279,0.6547,0.6933,0.7094,0.7611,0.3204
232,0.4633,0.5788,0.5653,0.6507,0.693,0.6946,0.7804,0.799,0.3159
233,0.4714,0.5089,0.5937,0.5824,0.6211,0.7512,0.6962,0.8726,0.3239
234,0.5012,0.5289,0.6026,0.6379,0.6879,0.7345,0.7908,0.8403,0.3112
235,0.533,0.6275,0.6292,0.7011,0.7396,0.7473,0.8164,0.8465,0.3207
236,0.5287,0.5245,0.6075,0.6163,0.6632,0.7032,0.7574,0.7876,0.314
237,0.4735,0.5911,0.574,0.6478,0.6795,0.7017,0.7313,0.8017,0.3149
238,0.5658,0.5523,0.6617,0.6248,0.6627,0.7775,0.7435,0.8818,0.3079
239,0.54,0.5322,0.6407,0.6328,0.6775,0.7498,0.7681,0.8568,0.3114
240,0.4382,0.5507,0.5504,0.6499,0.6953,0.6872,0.7865,0.7935,0.3182
241,0.532,0.5712,0.6285,0.6764,0.7264,0.7409,0.8352,0.8388,0.3173
242,0.5609,0.538,0.6706,0.6143,0.6491,0.8142,0.7178,0.926,0.305
243,0.4928,0.5378,0.5917,0.6569,0.7147,0.7162,0.825,0.8192,0.3091
244,0.5165,0.6157,0.6323,0.6799,0.7085,0.7622,0.7705,0.879,0.3279
245,0.4793,0.5386,0.597,0.6309,0.68,0.742,0.7755,0.8646,0.3085
246,0.4703,0.6493,0.582,0.7344,0.7756,0.723,0.8594,0.8342,0.3175
247,0.491,0.6398,0.6176,0.7342,0.775,0.776,0.8583,0.9034,0.3226
248,0.5797,0.6234,0.6615,0.7066,0.7437,0.7464,0.8217,0.8349,0.3152
249,0.4434,0.626,0.5543,0.6776,0.7069,0.7014,0.7672,0.8133,0.3162
250,0.5512,0.5229,0.6547,0.5956,0.6342,0.7735,0.7055,0.88,0.3105
251,0.5037,0.5871,0.6373,0.6669,0.7081,0.8006,0.7914,0.9247,0.3217
252,0.4749,0.5161,0.5974,0.593,0.6353,0.7425,0.7197,0.8648,0.3079
253,0.5335,0.6311,0.6114,0.723,0.7664,0.7067,0.8578,0.7949,0.3273
254,0.5176,0.5296,0.5885,0.5977,0.6301,0.6753,0.6961,0.7541,0.3185
255,0.4818,0.5535,0.5763,0.6634,0.7101,0.6957,0.8008,0.7968,0.3211
256,0.5629,0.5808,0.6368,0.6404,0.6773,0.706,0.752,0.7877,0.3142
257,0.5334,0.5796,0.6233,0.6716,0.7162,0.7396,0.808,0.8315,0.3203
258,0.4476,0.5683,0.5443,0.6478,0.694,0.6607,0.7757,0.7532,0.3138
259,0.5317,0.5381,0.6213,0.6304,0.6826,0.7314,0.7779,0.825,0.3114
260,0.5922,0.5438,0.6833,0.6673,0.73,0.7828,0.8478,0.8825,0.3069
261,0.4672,0.5125,0.5923,0.5968,0.6368,0.762,0.7223,0.8854,0.308
262,0.5703,0.6282,0.6781,0.71,0.7543,0.8076,0.845,0.9229,0.3195
263,0.4628,0.5424,0.5534,0.6241,0.6625,0.6676,0.7482,0.7642,0.3179
264,0.4809,0.5423,0.5923,0.6173,0.6531,0.7364,0.7312,0.8453,0.3158
265,0.556,0.5803,0.6669,0.6339,0.6598,0.7991,0.711,0.9092,0.3205
266,0.5253,0.6142,0.6058,0.6763,0.7074,0.6978,0.7728,0.7823,0.3232
267,0.5455,0.5807,0.6443,0.6833,0.7348,0.7638,0.8481,0.8671,0.3091
268,0.5192,0.5305,0.6182,0.631,0.6841,0.7466,0.7931,0.8462,0.3144
269,0.4898,0.5721,0.573,0.6517,0.6858,0.6665,0.7524,0.7577,0.3221
270,0.5084,0.5944,0.5907,0.7017,0.7517,0.6824,0.8527,0.7638,0.3135
271,0.5498,0.5972,0.6593,0.6492,0.6753,0.8052,0.7354,0.9212,0.3259
272,0.4505,0.5928,0.5562,0.6522,0.6873,0.6904,0.7623,0.7909,0.3104
273,0.4562,0.6401,0.579,0.708,0.7469,0.7352,0.8257,0.8549,0.3191
274,0.5215,0.6071,0.6066,0.6549,0.6873,0.6876,0.7442,0.7743,0.3167
275,0.5806,0.577,0.6558,0.6821,0.7348,0.7459,0.832,0.8328,0.3172
276,0.5706,0.5352,0.6307,0.6438,0.6966,0.6979,0.8005,0.7622,0.3171
277,0.5071,0.5977,0.6109,0.6488,0.6742,0.7218,0.7229,0.8271,0.3245
278,0.5358,0.5679,0.6294,0.6622,0.7043,0.7491,0.7879,0.8472,0.315
279,0.5032,0.5486,0.5908,0.6315,0.6723,0.695,0.7455,0.7852,0.312
280,0.4746,0.6077,0.6081,0.6625,0.6913,0.7819,0.7417,0.9139,0.3185
281,0.4594,0.6353,0.585,0.716,0.7538,0.7451,0.8345,0.8692,0.3208
282,0.5499,0.5023,0.6386,0.5959,0.6399,0.7441,0.731,0.8438,0.3095
