Iteration,Proportion Test,Proportion Test (Sim Results Clintool1025.Csv),Proportion Test (Sim Results Clintool2150.Csv),Proportion Test (Sim Results Clintool5175.Csv),Proportion Test (Sim Results Clintool76100.Csv)
8404,0.326,0.3194,0.376,0.4094,0.4424
8405,0.3157,0.334,0.3655,0.3813,0.4246
8406,0.3129,0.3235,0.349,0.3913,0.4131
8407,0.3184,0.3328,0.3423,0.3936,0.4245
8408,0.3054,0.342,0.3496,0.3801,0.4189
8409,0.3138,0.3392,0.3502,0.391,0.4267
8410,0.3214,0.3265,0.3687,0.3916,0.443
8411,0.3136,0.3541,0.3508,0.3864,0.4191
8412,0.3232,0.3502,0.3547,0.4034,0.4066
8413,0.3132,0.3454,0.3584,0.3895,0.4237
8414,0.3167,0.3307,0.3709,0.3887,0.4287
8415,0.3147,0.3257,0.3804,0.3926,0.4147
8416,0.323,0.3322,0.3702,0.3926,0.4399
8417,0.3094,0.3377,0.3707,0.3812,0.4167
8418,0.3156,0.3207,0.3498,0.3968,0.4065
8419,0.3183,0.3376,0.3519,0.3847,0.4315
8420,0.3214,0.3306,0.3542,0.3876,0.4345
8421,0.3209,0.3302,0.3631,0.3971,0.4221
8422,0.3218,0.3302,0.3652,0.3925,0.4367
8423,0.3175,0.3311,0.3605,0.3932,0.425
8424,0.3197,0.3382,0.3477,0.4053,0.4276
8425,0.3177,0.3388,0.3729,0.4133,0.4392
8426,0.3199,0.3388,0.3605,0.4062,0.4265
8427,0.3205,0.3289,0.373,0.4076,0.4315
8428,0.3149,0.3323,0.3551,0.3884,0.444
8429,0.3205,0.337,0.3604,0.4106,0.4235
8430,0.3057,0.3414,0.3408,0.3916,0.423
8431,0.3182,0.345,0.3825,0.4005,0.4102
8432,0.3138,0.3284,0.3617,0.4047,0.4376
8433,0.312,0.3501,0.3601,0.3761,0.4075
8434,0.3191,0.3353,0.3403,0.4155,0.4251
8435,0.3096,0.3302,0.3451,0.3979,0.3954
8436,0.3116,0.3385,0.3526,0.3878,0.4479
8437,0.3184,0.3364,0.3687,0.3983,0.4326
8438,0.3169,0.3307,0.364,0.399,0.4295
8439,0.315,0.3385,0.3724,0.3839,0.4363
8440,0.3253,0.3448,0.3565,0.4177,0.3976
8441,0.3223,0.3376,0.3603,0.4152,0.4035
8442,0.3196,0.3311,0.3517,0.386,0.4126
8443,0.3185,0.3419,0.3604,0.3989,0.4425
8444,0.3225,0.3408,0.3708,0.392,0.4433
8445,0.3264,0.3348,0.3757,0.4155,0.4047
8446,0.3092,0.3376,0.387,0.3852,0.4218
8447,0.3052,0.319,0.38,0.3878,0.4256
8448,0.3166,0.3272,0.3623,0.3856,0.4144
8449,0.3135,0.3399,0.3754,0.3879,0.4228
8450,0.321,0.3403,0.3744,0.4022,0.4359
8451,0.3093,0.3418,0.3555,0.3833,0.4374
8452,0.3093,0.3281,0.3372,0.4075,0.4157
8453,0.324,0.3533,0.3627,0.3941,0.457
8454,0.3146,0.3426,0.3715,0.4112,0.4256
8455,0.3128,0.3322,0.3546,0.382,0.4316
8456,0.3127,0.337,0.3506,0.3819,0.4213
8457,0.3194,0.3227,0.3524,0.3867,0.4271
8458,0.3064,0.3271,0.3863,0.3821,0.4418
8459,0.3229,0.3505,0.3642,0.405,0.4331
8460,0.318,0.3327,0.3505,0.3927,0.4111
8461,0.3157,0.3506,0.3638,0.3952,0.4216
8462,0.3118,0.3218,0.3578,0.3841,0.4266
8463,0.3085,0.3353,0.3545,0.3863,0.4265
8464,0.3078,0.3413,0.3665,0.3788,0.4122
8465,0.3229,0.3443,0.3575,0.4133,0.4432
8466,0.309,0.3473,0.3627,0.3941,0.4302
8467,0.3127,0.3199,0.3751,0.3921,0.4319
8468,0.3266,0.3312,0.3666,0.4137,0.4029
8469,0.3076,0.3499,0.3548,0.3896,0.4149
8470,0.3137,0.3319,0.3644,0.3936,0.4462
8471,0.3183,0.3411,0.3784,0.4001,0.4248
8472,0.3168,0.3419,0.3534,0.3948,0.4545
8473,0.3069,0.3484,0.3607,0.3795,0.43
8474,0.3152,0.3357,0.3682,0.4008,0.4152
8475,0.3111,0.3431,0.3814,0.3802,0.4108
8476,0.3192,0.3324,0.3669,0.4052,0.4288
8477,0.3057,0.3411,0.378,0.3657,0.4271
8478,0.311,0.3386,0.3429,0.3851,0.4335
8479,0.3161,0.3506,0.3504,0.3851,0.44
8480,0.3234,0.3456,0.3496,0.4058,0.4079
8481,0.3096,0.3361,0.3707,0.3806,0.444
8482,0.3122,0.3261,0.3727,0.3838,0.4181
8483,0.3168,0.3354,0.3514,0.4073,0.4303
8484,0.3148,0.3254,0.364,0.3897,0.4227
8485,0.3127,0.3431,0.3824,0.394,0.4365
8486,0.3213,0.3308,0.3488,0.3981,0.435
8487,0.3196,0.3373,0.3762,0.3893,0.4296
8488,0.3203,0.3254,0.3531,0.3903,0.4181
8489,0.325,0.342,0.3733,0.4106,0.4164
8490,0.3165,0.3357,0.3726,0.3848,0.4109
8491,0.3188,0.3345,0.3625,0.3785,0.4338
8492,0.3109,0.3335,0.3919,0.3712,0.4211
8493,0.3176,0.324,0.348,0.4061,0.4145
8494,0.3155,0.3282,0.3866,0.3768,0.4151
8495,0.3072,0.3395,0.3689,0.3755,0.4545
8496,0.3162,0.3264,0.3729,0.3948,0.4494
8497,0.3108,0.3388,0.3524,0.3791,0.4156
8498,0.3242,0.3322,0.3652,0.4092,0.4161
8499,0.3194,0.3444,0.3754,0.4058,0.4409
8500,0.3226,0.3246,0.3519,0.4112,0.4163
8501,0.3152,0.3297,0.3425,0.4095,0.4344
8502,0.3118,0.3521,0.3571,0.3753,0.4183
8503,0.3257,0.3338,0.341,0.411,0.4284
8504,0.3133,0.3303,0.35,0.3844,0.4311
8505,0.3209,0.325,0.3743,0.3905,0.4121
8506,0.3187,0.3414,0.3643,0.4113,0.4213
8507,0.3109,0.3516,0.3839,0.3741,0.4155
8508,0.31,0.3389,0.3637,0.3838,0.4012
8509,0.3107,0.3302,0.354,0.3806,0.4209
8510,0.3174,0.3354,0.3778,0.4078,0.424
8511,0.3232,0.3418,0.3473,0.4103,0.433
8512,0.3227,0.3389,0.371,0.4044,0.41
8513,0.3094,0.3209,0.3719,0.3803,0.4435
8514,0.3219,0.342,0.3632,0.3986,0.4246
8515,0.3134,0.3343,0.3821,0.3958,0.4209
8516,0.3141,0.3424,0.3739,0.4011,0.4162
8517,0.3258,0.3288,0.3826,0.405,0.4274
8518,0.3162,0.3332,0.3783,0.4035,0.4245
8519,0.3158,0.3435,0.3496,0.4096,0.4381
8520,0.324,0.3293,0.3876,0.4227,0.3953
8521,0.3146,0.3323,0.3553,0.3915,0.4309
8522,0.3209,0.3479,0.3513,0.388,0.4193
8523,0.3132,0.3292,0.3824,0.3878,0.4036
8524,0.3186,0.328,0.3618,0.4077,0.4177
8525,0.3103,0.3249,0.3751,0.3915,0.4124
8526,0.3157,0.3419,0.3621,0.3948,0.4367
8527,0.3119,0.3332,0.3662,0.3988,0.4116
8528,0.3089,0.343,0.3677,0.3867,0.4114
8529,0.3196,0.3421,0.362,0.3826,0.4247
8530,0.3145,0.3396,0.3697,0.386,0.4233
8531,0.3272,0.3459,0.3688,0.4114,0.4273
8532,0.3241,0.3298,0.3696,0.4148,0.4152
8533,0.3197,0.3399,0.3634,0.3944,0.4023
8534,0.3226,0.3271,0.3507,0.4149,0.4241
8535,0.3108,0.3356,0.3556,0.3963,0.4306
8536,0.3118,0.3361,0.3553,0.3847,0.4207
8537,0.3047,0.3373,0.36,0.3786,0.4143
8538,0.3131,0.3395,0.3654,0.3783,0.4275
8539,0.3215,0.3339,0.3641,0.3924,0.4212
8540,0.309,0.3377,0.3749,0.3793,0.4218
8541,0.3228,0.3282,0.3431,0.3885,0.4274
8542,0.3122,0.3368,0.3772,0.3918,0.4228
8543,0.3107,0.3428,0.3478,0.3844,0.4275
8544,0.3162,0.321,0.3808,0.3952,0.4428
8545,0.3216,0.3338,0.3629,0.4009,0.4286
8546,0.3227,0.3316,0.3406,0.4208,0.4318
8547,0.3277,0.348,0.3744,0.4117,0.4286
8548,0.3135,0.3407,0.3906,0.3801,0.409
8549,0.3225,0.3274,0.3603,0.4012,0.405
8550,0.318,0.331,0.3617,0.4144,0.415
8551,0.3226,0.3379,0.3596,0.4068,0.4254
8552,0.3118,0.3401,0.3696,0.3814,0.4177
8553,0.3091,0.3348,0.3646,0.3792,0.4202
8554,0.318,0.3462,0.3725,0.41,0.4057
8555,0.3154,0.3394,0.3414,0.3939,0.4462
8556,0.3163,0.3309,0.3705,0.3944,0.4254
8557,0.319,0.3452,0.3642,0.3959,0.4099
8558,0.3136,0.3574,0.3414,0.4075,0.4282
8559,0.3226,0.336,0.3512,0.3901,0.4079
8560,0.3219,0.346,0.3472,0.3999,0.4288
8561,0.3137,0.3346,0.3603,0.3942,0.4166
8562,0.3209,0.345,0.3577,0.3879,0.4241
8563,0.3099,0.3402,0.3604,0.4009,0.4367
8564,0.3206,0.3528,0.384,0.3931,0.44
8565,0.3104,0.3354,0.3492,0.4085,0.4237
8566,0.3184,0.3421,0.3537,0.3952,0.4103
8567,0.3204,0.339,0.3675,0.3914,0.4108
8568,0.3199,0.3436,0.3438,0.4041,0.4203
8569,0.3159,0.3513,0.3584,0.3914,0.4208
8570,0.3081,0.3206,0.3631,0.3837,0.4107
8571,0.3225,0.3381,0.3605,0.414,0.4075
8572,0.3144,0.3337,0.3541,0.4061,0.4272
8573,0.3181,0.3411,0.3747,0.4005,0.4307
8574,0.3149,0.3383,0.3485,0.3935,0.4272
8575,0.3168,0.32,0.3679,0.3945,0.4401
8576,0.3141,0.3322,0.3543,0.3915,0.412
8577,0.3099,0.3359,0.3638,0.3919,0.4337
8578,0.3206,0.3305,0.3581,0.4072,0.4194
8579,0.3208,0.3277,0.3704,0.4006,0.4326
8580,0.3115,0.3276,0.3621,0.3846,0.4278
8581,0.3243,0.343,0.3639,0.4152,0.4185
8582,0.31,0.3378,0.3666,0.3719,0.4264
8583,0.3118,0.335,0.3743,0.3852,0.4234
8584,0.312,0.3352,0.3922,0.3817,0.4155
8585,0.3145,0.3434,0.3815,0.3854,0.453
8586,0.3106,0.3334,0.3523,0.3855,0.4262
8587,0.3101,0.3255,0.3691,0.372,0.428
8588,0.3219,0.3326,0.3626,0.4024,0.4265
8589,0.3188,0.3344,0.3547,0.4098,0.3965
8590,0.318,0.3499,0.3703,0.3893,0.4367
8591,0.3207,0.3353,0.3599,0.4065,0.4155
8592,0.3137,0.3455,0.3755,0.3904,0.4063
8593,0.3139,0.3274,0.3728,0.3755,0.4098
8594,0.318,0.3355,0.3412,0.3869,0.4285
8595,0.317,0.3181,0.3543,0.3955,0.4158
8596,0.3187,0.35,0.3612,0.3821,0.4152
8597,0.3183,0.3418,0.3806,0.3974,0.4082
8598,0.3193,0.3305,0.3703,0.4099,0.4212
8599,0.3197,0.3392,0.3618,0.3853,0.4088
8600,0.3201,0.345,0.3902,0.4158,0.4042
8601,0.307,0.348,0.368,0.3726,0.4192
8602,0.3212,0.3348,0.3731,0.4086,0.4295
8603,0.3201,0.3408,0.3449,0.3962,0.4256
8604,0.3083,0.348,0.3592,0.385,0.4413
8605,0.3305,0.3319,0.372,0.4205,0.4254
8606,0.3149,0.3443,0.3853,0.3821,0.4361
8607,0.3119,0.3479,0.3725,0.3795,0.4193
8608,0.3188,0.3366,0.3591,0.4157,0.4331
8609,0.3204,0.3303,0.3533,0.4033,0.4331
8610,0.3151,0.3416,0.3578,0.381,0.4348
8611,0.3117,0.3406,0.3538,0.3843,0.4379
8612,0.3143,0.336,0.3673,0.3813,0.4523
8613,0.3085,0.3382,0.3644,0.3898,0.4031
8614,0.3249,0.3372,0.3583,0.404,0.4305
8615,0.3087,0.3293,0.3777,0.3827,0.4324
8616,0.3187,0.33,0.3799,0.4129,0.4414
8617,0.3156,0.325,0.3708,0.3903,0.4518
8618,0.3146,0.3497,0.362,0.3943,0.4263
8619,0.3177,0.3392,0.3583,0.4006,0.4174
8620,0.3232,0.3591,0.3584,0.3998,0.4157
8621,0.3156,0.3508,0.3583,0.3841,0.4525
8622,0.3095,0.3374,0.3729,0.3935,0.4096
8623,0.3131,0.3443,0.3529,0.4118,0.4495
8624,0.3129,0.3367,0.3574,0.4002,0.4202
8625,0.3183,0.3231,0.3444,0.3839,0.4271
8626,0.3166,0.3412,0.373,0.3857,0.4438
8627,0.3084,0.342,0.3784,0.3773,0.4434
8628,0.32,0.3339,0.3855,0.4153,0.4224
8629,0.3183,0.3278,0.3921,0.4029,0.408
8630,0.3151,0.3486,0.3464,0.3846,0.4243
8631,0.3123,0.3358,0.357,0.4147,0.421
8632,0.3103,0.3457,0.3623,0.3771,0.4371
8633,0.3142,0.3333,0.3721,0.3939,0.4105
8634,0.3172,0.3398,0.3632,0.3843,0.4053
8635,0.3088,0.3394,0.3735,0.3796,0.4197
8636,0.3174,0.3453,0.3722,0.4089,0.4258
8637,0.311,0.3243,0.382,0.3847,0.4187
8638,0.3187,0.327,0.3528,0.4159,0.4218
8639,0.3188,0.3459,0.3576,0.3909,0.4412
8640,0.3185,0.3329,0.3512,0.391,0.4274
8641,0.3149,0.3358,0.3568,0.3874,0.4132
8642,0.3119,0.334,0.3738,0.388,0.4032
8643,0.3277,0.3334,0.365,0.4045,0.4222
8644,0.3019,0.3251,0.3575,0.3795,0.3994
8645,0.3216,0.3184,0.3612,0.421,0.417
8646,0.3113,0.3323,0.3669,0.3882,0.4271
8647,0.3205,0.3395,0.3656,0.4114,0.4238
8648,0.3177,0.3371,0.3788,0.3977,0.4332
8649,0.3249,0.3266,0.3416,0.4087,0.4273
8650,0.3074,0.3433,0.3555,0.3928,0.4377
8651,0.3121,0.3312,0.3391,0.3795,0.4111
8652,0.3063,0.3418,0.3551,0.3712,0.427
8653,0.3153,0.3475,0.3691,0.3823,0.4442
8654,0.3157,0.3475,0.3471,0.3972,0.417
8655,0.3117,0.3268,0.3925,0.3728,0.4106
8656,0.3155,0.3287,0.3611,0.3856,0.4077
8657,0.3165,0.3518,0.3629,0.3954,0.4153
8658,0.3103,0.3308,0.3667,0.3748,0.4287
8659,0.3207,0.3508,0.3685,0.4043,0.4193
8660,0.318,0.3253,0.3765,0.3937,0.4389
8661,0.3124,0.3405,0.3564,0.3841,0.3983
8662,0.3041,0.3266,0.3493,0.3656,0.4414
8663,0.314,0.3249,0.3754,0.3968,0.4444
8664,0.318,0.3397,0.3525,0.3988,0.4323
8665,0.3163,0.3409,0.3524,0.4008,0.4225
8666,0.3171,0.3378,0.3723,0.3779,0.4275
8667,0.3146,0.3359,0.3673,0.3945,0.4348
8668,0.3173,0.3372,0.376,0.4071,0.4445
8669,0.3089,0.3231,0.3502,0.387,0.4144
8670,0.3085,0.3269,0.3604,0.3922,0.416
8671,0.3192,0.3423,0.3432,0.4038,0.4432
8672,0.3143,0.3324,0.3822,0.3981,0.421
8673,0.3189,0.3544,0.3542,0.4077,0.422
8674,0.3051,0.3474,0.354,0.3981,0.4423
8675,0.3159,0.3284,0.3445,0.3978,0.4001
8676,0.3085,0.3362,0.3517,0.3659,0.4245
8677,0.3002,0.3331,0.345,0.3681,0.4311
8678,0.31,0.335,0.3443,0.3817,0.4078
8679,0.3167,0.3438,0.34,0.4164,0.4187
8680,0.3038,0.3481,0.3809,0.3676,0.4035
8681,0.3272,0.3384,0.3471,0.4222,0.4205
8682,0.3298,0.3336,0.3529,0.4201,0.4116
8683,0.3047,0.3505,0.3636,0.3702,0.4238
8684,0.321,0.3204,0.3557,0.394,0.4434
8685,0.3192,0.3312,0.3481,0.3925,0.4259
8686,0.3151,0.3403,0.3815,0.3864,0.4193
8687,0.314,0.3333,0.3439,0.3784,0.406
8688,0.323,0.3364,0.3609,0.3958,0.4342
8689,0.3263,0.3546,0.3571,0.3904,0.4077
8690,0.3122,0.3314,0.3791,0.3988,0.4272
8691,0.3205,0.3553,0.3418,0.4048,0.4315
8692,0.3213,0.3387,0.3659,0.4015,0.4022
8693,0.3243,0.3353,0.3734,0.41,0.3891
8694,0.3146,0.342,0.372,0.398,0.4348
8695,0.3151,0.3188,0.3695,0.402,0.4468
8696,0.3229,0.3384,0.3808,0.4169,0.4299
8697,0.3092,0.33,0.3634,0.387,0.4183
8698,0.3088,0.3395,0.3618,0.3852,0.4203
8699,0.3139,0.3497,0.3757,0.3914,0.4018
8700,0.3145,0.3172,0.3653,0.3976,0.4268
8701,0.3111,0.3289,0.3636,0.386,0.4229
8702,0.314,0.3429,0.3497,0.3918,0.4305
8703,0.3093,0.3275,0.3593,0.3884,0.4184
8704,0.3171,0.3294,0.3422,0.4036,0.4455
8705,0.3099,0.3386,0.376,0.3733,0.4489
8706,0.3155,0.3187,0.348,0.3986,0.4051
8707,0.3158,0.3477,0.3512,0.3984,0.4167
8708,0.3099,0.3431,0.3809,0.3693,0.4285
8709,0.3239,0.3351,0.375,0.4152,0.4249
8710,0.3169,0.3318,0.3701,0.3845,0.4365
8711,0.3197,0.3535,0.3644,0.384,0.3943
8712,0.3251,0.3303,0.3654,0.3957,0.4359
8713,0.3144,0.3365,0.3608,0.3739,0.4254
8714,0.3196,0.3521,0.3633,0.4025,0.4411
8715,0.3208,0.3355,0.3522,0.3938,0.4197
8716,0.3195,0.3341,0.3482,0.3965,0.3986
8717,0.3169,0.3433,0.3642,0.3857,0.4177
8718,0.308,0.3339,0.3557,0.3714,0.4368
8719,0.3097,0.3402,0.3624,0.3788,0.4383
8720,0.3087,0.344,0.3613,0.3905,0.435
8721,0.316,0.339,0.3618,0.4147,0.4272
8722,0.3168,0.3425,0.3522,0.4012,0.4298
8723,0.3183,0.3233,0.3539,0.3799,0.4278
8724,0.3158,0.3257,0.3618,0.3878,0.4325
8725,0.3094,0.3376,0.3722,0.3716,0.4268
8726,0.3192,0.3294,0.3675,0.3896,0.405
8727,0.3093,0.3375,0.3589,0.3808,0.4167
8728,0.3161,0.3431,0.3659,0.4107,0.442
8729,0.3149,0.3382,0.369,0.3872,0.409
8730,0.3119,0.3375,0.3715,0.3793,0.4258
8731,0.3171,0.3381,0.352,0.4009,0.4154
8732,0.3159,0.3364,0.3574,0.3887,0.4216
8733,0.3123,0.3339,0.3705,0.3918,0.4234
8734,0.3071,0.3326,0.3497,0.3738,0.4432
8735,0.3316,0.3338,0.3434,0.4001,0.4338
8736,0.3229,0.318,0.356,0.4073,0.3992
8737,0.3219,0.3303,0.3617,0.3975,0.4213
8738,0.3183,0.3361,0.3594,0.3903,0.418
8739,0.3196,0.3479,0.3681,0.3982,0.4335
8740,0.3252,0.3259,0.3661,0.4116,0.4228
8741,0.3128,0.3354,0.3614,0.3895,0.4154
8742,0.3141,0.3435,0.3498,0.3803,0.4161
8743,0.3104,0.3326,0.3688,0.3982,0.4159
8744,0.3182,0.3229,0.37,0.4026,0.4243
8745,0.3144,0.3307,0.3707,0.3862,0.4297
8746,0.3152,0.3267,0.385,0.3923,0.4371
8747,0.3186,0.3387,0.348,0.4046,0.4061
8748,0.3142,0.3395,0.3595,0.3749,0.4376
8749,0.3108,0.3326,0.3723,0.3802,0.4432
8750,0.328,0.3338,0.3794,0.4038,0.4326
8751,0.3154,0.3325,0.3584,0.3937,0.4577
8752,0.319,0.3182,0.3462,0.4082,0.4209
8753,0.3126,0.331,0.3637,0.3945,0.4458
8754,0.3099,0.3228,0.3557,0.3894,0.4145
8755,0.3138,0.3243,0.339,0.3897,0.4116
8756,0.3101,0.3478,0.3638,0.3842,0.4147
8757,0.3107,0.3398,0.3612,0.3765,0.4142
8758,0.3175,0.3461,0.36,0.3868,0.3997
8759,0.3179,0.3406,0.3733,0.3826,0.419
8760,0.3195,0.3335,0.3462,0.3922,0.4163
8761,0.3166,0.3122,0.3754,0.3837,0.4392
8762,0.3175,0.3356,0.3627,0.3895,0.4107
8763,0.3287,0.3474,0.3661,0.3989,0.4326
8764,0.3063,0.3315,0.3761,0.3898,0.426
8765,0.3101,0.3298,0.3742,0.3872,0.4302
8766,0.3262,0.3331,0.3378,0.4042,0.4512
8767,0.3226,0.3194,0.3461,0.4211,0.4243
8768,0.3119,0.3361,0.3683,0.4038,0.4136
8769,0.3208,0.3328,0.3779,0.4043,0.4052
8770,0.3069,0.3379,0.3793,0.3848,0.4339
8771,0.3173,0.3326,0.3635,0.4115,0.4356
8772,0.3163,0.3453,0.3442,0.3941,0.4206
8773,0.3029,0.3198,0.379,0.3721,0.4006
8774,0.3209,0.3306,0.3543,0.4091,0.4234
8775,0.3129,0.3451,0.3858,0.3981,0.4249
8776,0.32,0.3465,0.3535,0.4056,0.4275
8777,0.3189,0.3418,0.3565,0.3856,0.4037
8778,0.3112,0.3345,0.3709,0.3955,0.4228
8779,0.309,0.3356,0.3635,0.3832,0.3941
8780,0.3077,0.3356,0.3674,0.3671,0.4273
8781,0.3122,0.3405,0.3491,0.3955,0.3945
8782,0.3122,0.3274,0.3633,0.3892,0.4296
8783,0.323,0.314,0.363,0.4197,0.4229
8784,0.313,0.343,0.3485,0.3958,0.394
8785,0.3195,0.3497,0.3578,0.4108,0.4078
8786,0.3207,0.3414,0.3589,0.4138,0.409
8787,0.3145,0.3335,0.3577,0.3921,0.4268
8788,0.312,0.3265,0.3578,0.3753,0.4019
8789,0.3121,0.3255,0.3646,0.3907,0.4166
8790,0.3136,0.3347,0.3519,0.3959,0.4487
8791,0.3232,0.3521,0.3741,0.39,0.4182
8792,0.3078,0.3213,0.371,0.3947,0.4409
8793,0.3172,0.345,0.3624,0.3776,0.415
8794,0.3073,0.3296,0.3479,0.3853,0.4209
8795,0.3227,0.3316,0.3398,0.4036,0.4122
8796,0.3257,0.3427,0.3455,0.4088,0.427
8797,0.3075,0.3273,0.3534,0.3768,0.3985
8798,0.3169,0.3261,0.3664,0.4006,0.4243
8799,0.3192,0.3386,0.3487,0.3866,0.4197
8800,0.3319,0.3325,0.3637,0.4126,0.4227
8801,0.3115,0.3251,0.3752,0.3917,0.4229
8802,0.3101,0.3417,0.3477,0.3885,0.4176
8803,0.3185,0.3253,0.3453,0.4132,0.4228
8804,0.3148,0.3408,0.3624,0.3923,0.4256
8805,0.3183,0.346,0.3745,0.3886,0.4478
8806,0.3108,0.3322,0.3554,0.3834,0.3872
8807,0.3163,0.352,0.3569,0.3985,0.4304
8808,0.3154,0.3279,0.3399,0.3775,0.4055
8809,0.3214,0.343,0.3512,0.396,0.4175
8810,0.3232,0.347,0.349,0.4154,0.4378
8811,0.3318,0.3448,0.3531,0.4298,0.4263
8812,0.3225,0.3205,0.3753,0.3892,0.4281
8813,0.3228,0.3314,0.3573,0.3953,0.4291
8814,0.3106,0.3313,0.3584,0.3808,0.4331
8815,0.3217,0.3246,0.3565,0.4013,0.4275
8816,0.3109,0.3342,0.3758,0.3945,0.4161
8817,0.3148,0.3332,0.3448,0.4005,0.4296
8818,0.3087,0.3318,0.3642,0.3867,0.4187
8819,0.3255,0.3372,0.3528,0.403,0.4256
8820,0.3101,0.324,0.38,0.3983,0.4221
8821,0.323,0.3247,0.3591,0.4132,0.4024
8822,0.3148,0.3191,0.3482,0.4049,0.4259
8823,0.3236,0.3507,0.3534,0.3902,0.4305
8824,0.3137,0.3302,0.3491,0.3974,0.4035
8825,0.3105,0.3293,0.3762,0.3871,0.4158
8826,0.3028,0.3407,0.3704,0.3806,0.4163
8827,0.317,0.3493,0.3625,0.4162,0.4146
8828,0.319,0.3346,0.3488,0.3848,0.4171
8829,0.3157,0.3341,0.3517,0.3852,0.4136
8830,0.327,0.3257,0.3535,0.4228,0.447
8831,0.3118,0.3377,0.3578,0.3851,0.4343
8832,0.3159,0.3371,0.341,0.3895,0.4317
8833,0.3188,0.3343,0.3532,0.3923,0.4306
8834,0.3192,0.3534,0.3559,0.396,0.407
8835,0.3142,0.3396,0.3781,0.3884,0.4184
8836,0.3133,0.3363,0.3617,0.4111,0.4235
8837,0.3143,0.3319,0.3873,0.3945,0.4224
8838,0.3109,0.328,0.3619,0.39,0.4266
8839,0.3193,0.3411,0.3684,0.4024,0.4356
8840,0.3132,0.3379,0.3608,0.4131,0.4392
8841,0.3095,0.3393,0.3653,0.3905,0.4233
8842,0.3143,0.3359,0.3605,0.3754,0.4198
8843,0.3106,0.3429,0.3714,0.3869,0.4305
8844,0.3094,0.353,0.3623,0.3726,0.3883
8845,0.3024,0.3381,0.3622,0.3927,0.4074
8846,0.3205,0.3343,0.3705,0.3912,0.423
8847,0.3209,0.3391,0.3536,0.4055,0.4236
8848,0.3207,0.3437,0.356,0.407,0.4181
8849,0.31,0.3233,0.3729,0.4022,0.4126
8850,0.3153,0.3402,0.3518,0.4027,0.4445
8851,0.3227,0.3413,0.3679,0.3989,0.4166
8852,0.3179,0.3366,0.3764,0.3989,0.418
8853,0.313,0.3255,0.3559,0.3905,0.4243
8854,0.3286,0.3322,0.3585,0.3967,0.4229
8855,0.3149,0.3295,0.3682,0.3972,0.3955
8856,0.3189,0.3274,0.3896,0.388,0.436
8857,0.3141,0.3481,0.3775,0.382,0.4029
8858,0.3236,0.3343,0.3434,0.4071,0.4216
8859,0.3281,0.3265,0.3751,0.4022,0.4214
8860,0.3131,0.3327,0.3651,0.3759,0.4231
8861,0.3226,0.346,0.3467,0.4212,0.4146
8862,0.3149,0.3357,0.3753,0.3898,0.4364
8863,0.3108,0.3399,0.3597,0.3763,0.4236
8864,0.3126,0.3279,0.3637,0.3887,0.4036
8865,0.3184,0.3389,0.3591,0.3933,0.426
8866,0.3128,0.336,0.3631,0.3934,0.4319
8867,0.3136,0.3362,0.3433,0.3837,0.4112
8868,0.3156,0.3364,0.3675,0.4051,0.4466
8869,0.3162,0.3368,0.37,0.3954,0.4291
8870,0.3224,0.3254,0.3581,0.4095,0.4254
8871,0.3119,0.3473,0.3585,0.3992,0.4226
8872,0.3203,0.3241,0.3782,0.4006,0.4268
8873,0.3222,0.3366,0.3709,0.4098,0.4146
8874,0.3165,0.3329,0.344,0.3954,0.4185
8875,0.3161,0.3257,0.3344,0.4025,0.4233
8876,0.311,0.3336,0.3919,0.3879,0.4304
8877,0.3274,0.3257,0.358,0.407,0.4139
8878,0.3173,0.3413,0.3732,0.3931,0.4211
8879,0.3148,0.3484,0.344,0.4008,0.4438
8880,0.3186,0.3324,0.3696,0.3994,0.4049
8881,0.3239,0.347,0.366,0.3955,0.4251
8882,0.3127,0.3528,0.3669,0.3952,0.4323
8883,0.3194,0.3371,0.3624,0.4078,0.4284
8884,0.3192,0.3305,0.3651,0.387,0.4235
8885,0.3161,0.3399,0.3674,0.3991,0.4028
8886,0.3212,0.3244,0.3748,0.3906,0.4392
8887,0.3147,0.3436,0.3572,0.3759,0.4113
8888,0.3188,0.3483,0.3708,0.3948,0.4185
8889,0.3058,0.3571,0.3443,0.3972,0.4409
8890,0.3107,0.3394,0.3746,0.3727,0.4357
8891,0.3125,0.3321,0.3574,0.4104,0.4233
8892,0.3119,0.3417,0.3629,0.3833,0.4116
8893,0.3175,0.3294,0.356,0.3811,0.4199
8894,0.323,0.3426,0.3441,0.3905,0.445
8895,0.3205,0.338,0.353,0.4047,0.412
8896,0.3131,0.3304,0.3511,0.3837,0.4062
8897,0.3221,0.3315,0.3527,0.4005,0.4385
8898,0.3256,0.3444,0.3568,0.399,0.4269
8899,0.3171,0.3453,0.3776,0.3902,0.4182
8900,0.318,0.337,0.3674,0.3932,0.4288
8901,0.32,0.3415,0.3528,0.3873,0.4206
8902,0.3243,0.3365,0.3577,0.3948,0.4178
8903,0.3165,0.3254,0.3778,0.4046,0.4348
8904,0.3143,0.3396,0.371,0.3816,0.431
8905,0.3232,0.3244,0.3881,0.4186,0.4192
8906,0.3123,0.3366,0.3476,0.4029,0.422
8907,0.3154,0.3446,0.3613,0.398,0.4394
8908,0.3154,0.3493,0.3483,0.3981,0.4217
